date,Temperature,Humidity,CO2,Occupancy
2/4/2015 17:51,23.18,27.272,721.25,1
2/4/2015 17:51,23.15,27.2675,714,1
2/4/2015 17:53,23.15,27.245,713.5,1
2/4/2015 17:54,23.15,27.2,708.25,1
2/4/2015 17:55,23.1,27.2,704.5,1
2/4/2015 17:55,23.1,27.2,701,1
2/4/2015 17:57,23.1,27.2,701.6666667,1
2/4/2015 17:57,23.1,27.2,699,1
2/4/2015 17:58,23.1,27.2,689.3333333,1
2/4/2015 18:00,23.075,27.175,688,1
2/4/2015 18:01,23.075,27.15,690.25,1
2/4/2015 18:02,23.1,27.1,691,1
2/4/2015 18:03,23.1,27.16666667,683.5,1
2/4/2015 18:04,23.05,27.15,687.5,1
2/4/2015 18:04,23,27.125,686,1
2/4/2015 18:06,23,27.125,680.5,1
2/4/2015 18:07,23,27.2,681.5,0
2/4/2015 18:08,22.945,27.29,685,0
2/4/2015 18:08,22.945,27.39,685,0
2/4/2015 18:10,22.89,27.39,689,0
2/4/2015 18:10,22.89,27.39,689.5,0
2/4/2015 18:11,22.89,27.39,689,0
2/4/2015 18:13,22.89,27.445,691,0
2/4/2015 18:14,22.89,27.5,688,0
2/4/2015 18:15,22.89,27.5,689.5,0
2/4/2015 18:16,22.79,27.445,689,0
2/4/2015 18:16,22.79,27.5,685.6666667,0
2/4/2015 18:17,22.79,27.5,687,0
2/4/2015 18:19,22.79,27.5,688,0
2/4/2015 18:20,22.745,27.5,670,0
2/4/2015 18:21,22.7,27.46333333,668.6666667,0
2/4/2015 18:22,22.7,27.5,670,0
2/4/2015 18:23,22.7,27.5,667,0
2/4/2015 18:23,22.66666667,27.42666667,664.5,0
2/4/2015 18:24,22.7,27.6,670,0
2/4/2015 18:26,22.6,27.42666667,670.3333333,0
2/4/2015 18:27,22.6,27.39,672,0
2/4/2015 18:28,22.6,27.35666667,658,0
2/4/2015 18:29,22.6,27.445,660.5,0
2/4/2015 18:29,22.6,27.42666667,658,0
2/4/2015 18:30,22.6,27.445,655,0
2/4/2015 18:32,22.6,27.445,654.25,0
2/4/2015 18:33,22.6,27.39,648,0
2/4/2015 18:34,22.5,27.32333333,648.6666667,0
2/4/2015 18:35,22.5,27.445,646,0
2/4/2015 18:36,22.5,27.5,646,0
2/4/2015 18:36,22.5,27.445,641.5,0
2/4/2015 18:38,22.39,27.29,639,0
2/4/2015 18:39,22.5,27.5,640,0
2/4/2015 18:40,22.39,27.34,630.5,0
2/4/2015 18:40,22.39,27.35666667,629.3333333,0
2/4/2015 18:42,22.39,27.5,632,0
2/4/2015 18:42,22.39,27.5,636.5,0
2/4/2015 18:43,22.39,27.5,627.5,0
2/4/2015 18:45,22.39,27.39,626,0
2/4/2015 18:46,22.39,27.5,625.5,0
2/4/2015 18:47,22.34,27.39,623.5,0
2/4/2015 18:48,22.39,27.46333333,624.6666667,0
2/4/2015 18:49,22.39,27.39,622,0
2/4/2015 18:49,22.29,27.39,621,0
2/4/2015 18:51,22.34,27.39,626.5,0
2/4/2015 18:52,22.29,27.39,622,0
2/4/2015 18:53,22.39,27.39,620,0
2/4/2015 18:53,22.29,27.39,621.5,0
2/4/2015 18:55,22.29,27.35666667,616.3333333,0
2/4/2015 18:55,22.29,27.34,609,0
2/4/2015 18:56,22.29,27.39,614,0
2/4/2015 18:58,22.29,27.34,613.5,0
2/4/2015 18:59,22.29,27.34,611,0
2/4/2015 19:00,22.29,27.39,612,0
2/4/2015 19:01,22.29,27.29,608,0
2/4/2015 19:01,22.29,27.29,605.5,0
2/4/2015 19:02,22.2675,27.315,608.5,0
2/4/2015 19:04,22.2,27.29,608.5,0
2/4/2015 19:05,22.245,27.29,602.5,0
2/4/2015 19:06,22.2,27.29,598,0
2/4/2015 19:07,22.2,27.29,595,0
2/4/2015 19:08,22.2,27.29,591,0
2/4/2015 19:08,22.245,27.245,591,0
2/4/2015 19:09,22.2,27.2,595,0
2/4/2015 19:11,22.2,27.29,594.3333333,0
2/4/2015 19:12,22.2,27.29,593.5,0
2/4/2015 19:13,22.2,27.29,592,0
2/4/2015 19:14,22.15,27.245,586.5,0
2/4/2015 19:14,22.2,27.2,586,0
2/4/2015 19:15,22.15,27.245,586,0
2/4/2015 19:17,22.2,27.245,584.5,0
2/4/2015 19:18,22.1,27.245,584.5,0
2/4/2015 19:19,22.1,27.2,585.5,0
2/4/2015 19:20,22.13333333,27.2,584.6666667,0
2/4/2015 19:21,22.2,27.2,577,0
2/4/2015 19:21,22.1,27.2,580,0
2/4/2015 19:23,22.125,27.2,582,0
2/4/2015 19:24,22.2,27.2,580,0
2/4/2015 19:25,22.1,27.15,578,0
2/4/2015 19:25,22.1,27.2,576.5,0
2/4/2015 19:27,22.1,27.2,580,0
2/4/2015 19:27,22.1,27.2,572.5,0
2/4/2015 19:28,22.1,27.2,567,0
2/4/2015 19:30,22.1,27.2,568,0
2/4/2015 19:31,22.1,27.2,574.5,0
2/4/2015 19:32,22.1,27.2,564.3333333,0
2/4/2015 19:33,22.1,27.2,563,0
2/4/2015 19:34,22.1,27.15,564.5,0
2/4/2015 19:34,22.06666667,27.16666667,566.3333333,0
2/4/2015 19:36,22.1,27.1,562,0
2/4/2015 19:37,22,27.1,565.5,0
2/4/2015 19:38,22,27.1,570,0
2/4/2015 19:38,22.05,27.15,562,0
2/4/2015 19:40,22,27.1,560,0
2/4/2015 19:40,22,27.1,558,0
2/4/2015 19:41,22,27.1,556,0
2/4/2015 19:43,22,27.1,557,0
2/4/2015 19:44,21.9175,27.1,556.5,0
2/4/2015 19:45,21.945,27.1,557.5,0
2/4/2015 19:46,21.92666667,27.1,555,0
2/4/2015 19:46,21.89,27.1,555,0
2/4/2015 19:47,21.89,27.1,553,0
2/4/2015 19:49,21.89,27.1,549.5,0
2/4/2015 19:50,21.89,27.1,548.5,0
2/4/2015 19:51,21.89,27.1,551.5,0
2/4/2015 19:52,21.89,27.1,548.5,0
2/4/2015 19:53,21.89,27.1,548,0
2/4/2015 19:53,21.89,27.1,547.5,0
2/4/2015 19:54,21.89,27.1,553,0
2/4/2015 19:56,21.84,27.1,547.5,0
2/4/2015 19:57,21.85666667,27.1,548.6666667,0
2/4/2015 19:58,21.79,27.1,540,0
2/4/2015 19:59,21.79,27.1,538,0
2/4/2015 19:59,21.79,27.1,542,0
2/4/2015 20:00,21.79,27.1,542,0
2/4/2015 20:02,21.79,27.1,538,0
2/4/2015 20:03,21.79,27.1,537.6666667,0
2/4/2015 20:04,21.79,27.1,537.5,0
2/4/2015 20:05,21.79,27.1,536,0
2/4/2015 20:06,21.745,27.1,534.5,0
2/4/2015 20:06,21.7,27.1,532.5,0
2/4/2015 20:08,21.76,27.1,530,0
2/4/2015 20:09,21.745,27.05,529.5,0
2/4/2015 20:10,21.79,27.05,531,0
2/4/2015 20:10,21.73,27,533.3333333,0
2/4/2015 20:12,21.745,27,531,0
2/4/2015 20:12,21.745,27,529,0
2/4/2015 20:13,21.745,27,528.5,0
2/4/2015 20:15,21.7,27,525,0
2/4/2015 20:16,21.7,27,528.5,0
2/4/2015 20:17,21.7,27,530.5,0
2/4/2015 20:18,21.7,26.89,528,0
2/4/2015 20:19,21.7,26.89,526,0
2/4/2015 20:19,21.7,26.89,530,0
2/4/2015 20:21,21.7,26.89,533.3333333,0
2/4/2015 20:22,21.7,26.89,529,0
2/4/2015 20:23,21.7,26.89,528,0
2/4/2015 20:23,21.7,26.89,526,0
2/4/2015 20:25,21.7,26.89,526,0
2/4/2015 20:25,21.7,26.79,521,0
2/4/2015 20:26,21.7,26.79,518,0
2/4/2015 20:28,21.7,26.79,515.5,0
2/4/2015 20:29,21.7,26.79,520,0
2/4/2015 20:30,21.7,26.7675,523.5,0
2/4/2015 20:31,21.7,26.79,525.5,0
2/4/2015 20:31,21.7,26.79,525.5,0
2/4/2015 20:32,21.7,26.79,514,0
2/4/2015 20:34,21.7,26.7,518,0
2/4/2015 20:35,21.7,26.7,518,0
2/4/2015 20:36,21.7,26.7,520,0
2/4/2015 20:37,21.6,26.7,521,0
2/4/2015 20:38,21.6,26.6,518,0
2/4/2015 20:38,21.6,26.65,517,0
2/4/2015 20:39,21.6,26.6,511.5,0
2/4/2015 20:41,21.65,26.65,514,0
2/4/2015 20:42,21.6,26.55,515.5,0
2/4/2015 20:43,21.6,26.5,517,0
2/4/2015 20:44,21.6,26.5,515,0
2/4/2015 20:44,21.6,26.5,512,0
2/4/2015 20:45,21.6,26.5,515,0
2/4/2015 20:47,21.65,26.55,511,0
2/4/2015 20:48,21.6,26.5,514,0
2/4/2015 20:49,21.6,26.445,508,0
2/4/2015 20:50,21.6,26.4725,509.75,0
2/4/2015 20:51,21.6,26.445,508.75,0
2/4/2015 20:51,21.6,26.445,508.5,0
2/4/2015 20:53,21.6,26.39,507,0
2/4/2015 20:54,21.6,26.39,507,0
2/4/2015 20:55,21.6,26.39,503.5,0
2/4/2015 20:55,21.6,26.39,504,0
2/4/2015 20:57,21.6,26.39,504,0
2/4/2015 20:57,21.575,26.315,500.5,0
2/4/2015 20:58,21.6,26.29,500,0
2/4/2015 21:00,21.6,26.29,503.5,0
2/4/2015 21:01,21.55,26.245,503,0
2/4/2015 21:02,21.55,26.245,502.5,0
2/4/2015 21:03,21.5,26.2,502,0
2/4/2015 21:04,21.56666667,26.2,502,0
2/4/2015 21:04,21.5,26.2,502.5,0
2/4/2015 21:06,21.5,26.2,497,0
2/4/2015 21:07,21.5,26.15,501.5,0
2/4/2015 21:08,21.5,26.15,504,0
2/4/2015 21:08,21.5,26.1,501,0
2/4/2015 21:10,21.5,26.1,493.75,0
2/4/2015 21:10,21.5,26.1,500,0
2/4/2015 21:11,21.5,26.1,504.5,0
2/4/2015 21:13,21.5,26.05,504,0
2/4/2015 21:14,21.5,26.1,501,0
2/4/2015 21:15,21.5,26,499,0
2/4/2015 21:16,21.5,26,502,0
2/4/2015 21:16,21.5,26,503.5,0
2/4/2015 21:17,21.5,26,500.6666667,0
2/4/2015 21:19,21.5,26,493,0
2/4/2015 21:20,21.5,26,492.5,0
2/4/2015 21:21,21.5,26,493,0
2/4/2015 21:22,21.5,25.89,495.5,0
2/4/2015 21:23,21.5,26,492.6666667,0
2/4/2015 21:23,21.5,26,490,0
2/4/2015 21:24,21.5,25.92666667,493,0
2/4/2015 21:26,21.5,25.89,494.6666667,0
2/4/2015 21:27,21.5,25.89,496,0
2/4/2015 21:28,21.5,25.89,491,0
2/4/2015 21:29,21.5,25.84,490.5,0
2/4/2015 21:29,21.5,25.84,490,0
2/4/2015 21:30,21.5,25.89,491,0
2/4/2015 21:32,21.5,25.89,491.6666667,0
2/4/2015 21:33,21.5,25.89,493.5,0
2/4/2015 21:34,21.4725,25.865,493.75,0
2/4/2015 21:35,21.5,25.84,490,0
2/4/2015 21:36,21.5,25.79,488,0
2/4/2015 21:36,21.5,25.79,490,0
2/4/2015 21:38,21.5,25.79,487,0
2/4/2015 21:39,21.445,25.745,492.5,0
2/4/2015 21:40,21.445,25.745,493.5,0
2/4/2015 21:40,21.46333333,25.76,493.3333333,0
2/4/2015 21:42,21.445,25.745,488,0
2/4/2015 21:42,21.5,25.79,487.5,0
2/4/2015 21:43,21.42666667,25.73,485.3333333,0
2/4/2015 21:45,21.39,25.7,484,0
2/4/2015 21:46,21.39,25.7,489,0
2/4/2015 21:47,21.445,25.745,488,0
2/4/2015 21:48,21.5,25.79,493,0
2/4/2015 21:49,21.39,25.7,491,0
2/4/2015 21:49,21.445,25.745,488,0
2/4/2015 21:51,21.445,25.745,487.25,0
2/4/2015 21:52,21.39,25.7,489,0
2/4/2015 21:53,21.5,25.79,489,0
2/4/2015 21:53,21.39,25.7,486,0
2/4/2015 21:55,21.42666667,25.73,484.6666667,0
2/4/2015 21:55,21.39,25.7,485,0
2/4/2015 21:56,21.39,25.7,487,0
2/4/2015 21:58,21.39,25.7,492,0
2/4/2015 21:59,21.39,25.7,490.6666667,0
2/4/2015 22:00,21.39,25.7,488,0
2/4/2015 22:01,21.39,25.7,485.5,0
2/4/2015 22:01,21.39,25.7,486,0
2/4/2015 22:02,21.39,25.7,485.5,0
2/4/2015 22:04,21.39,25.7,486,0
2/4/2015 22:05,21.39,25.7,480,0
2/4/2015 22:06,21.39,25.7,481,0
2/4/2015 22:07,21.39,25.7,481.6666667,0
2/4/2015 22:08,21.39,25.7,485.5,0
2/4/2015 22:08,21.39,25.7,485,0
2/4/2015 22:09,21.39,25.7,473,0
2/4/2015 22:11,21.39,25.7,475,0
2/4/2015 22:12,21.39,25.7,486,0
2/4/2015 22:13,21.39,25.7,481.5,0
2/4/2015 22:14,21.39,25.7,483,0
2/4/2015 22:14,21.39,25.7,479,0
2/4/2015 22:15,21.39,25.7,479,0
2/4/2015 22:17,21.39,25.7,479,0
2/4/2015 22:18,21.34,25.7,479,0
2/4/2015 22:19,21.39,25.7,479,0
2/4/2015 22:20,21.39,25.7,477,0
2/4/2015 22:21,21.39,25.7,477.5,0
2/4/2015 22:21,21.29,25.7,477.5,0
2/4/2015 22:23,21.34,25.7,480,0
2/4/2015 22:24,21.29,25.7,480,0
2/4/2015 22:25,21.34,25.7,482,0
2/4/2015 22:25,21.32333333,25.7,480.3333333,0
2/4/2015 22:27,21.34,25.7,477.5,0
2/4/2015 22:27,21.29,25.7,476,0
2/4/2015 22:28,21.39,25.7,479,0
2/4/2015 22:30,21.39,25.7,471,0
2/4/2015 22:31,21.29,25.7,474,0
2/4/2015 22:32,21.29,25.7,477.5,0
2/4/2015 22:33,21.34,25.7,476,0
2/4/2015 22:34,21.29,25.7,474.25,0
2/4/2015 22:34,21.39,25.7,475,0
2/4/2015 22:36,21.29,25.7,476.5,0
2/4/2015 22:37,21.34,25.7,474.5,0
2/4/2015 22:38,21.29,25.7,478,0
2/4/2015 22:38,21.29,25.7,475.3333333,0
2/4/2015 22:40,21.29,25.7,477,0
2/4/2015 22:40,21.29,25.7,475.5,0
2/4/2015 22:41,21.29,25.7,477.5,0
2/4/2015 22:43,21.29,25.7,477.5,0
2/4/2015 22:44,21.29,25.7,478,0
2/4/2015 22:45,21.29,25.7,473.5,0
2/4/2015 22:46,21.29,25.7,472.5,0
2/4/2015 22:46,21.29,25.7,472,0
2/4/2015 22:47,21.29,25.7,469.5,0
2/4/2015 22:49,21.29,25.7,466.6666667,0
2/4/2015 22:50,21.29,25.7,467,0
